Date,Topic,Drive Link,,Description
06/08/2025,Doubt Session,https://drive.google.com/file/d/1tvKb0D9OzIhzpQn8SXszZtXHsukqbs-q/view?usp=drive_link,https://drive.google.com/file/d/1bGsecyWDh78ary4ClhR5QWa-Gm5UPk0p/view?usp=drive_link,"Matrix logic, URL implementation, No. of intersecting diagonals idea, No. of parts in convex polygon idea, 
konya and tanya idea, sum of digit idea."
10/08/2025,Two Pointers Form 1,https://drive.google.com/file/d/1KWCI0-7fYHFkxlqL4Erz2W2mVeDArqQk/view?usp=drive_link,https://drive.google.com/file/d/1bd0c9MrAYKPylW-ALirUDYztk59gnrpW/view?usp=drive_link,"Types of Forms of two pointers, Intro to Form 1, max length subarray of 1's, subarrays with no. 
of distinct ele <=k"
10/08/2025,Two Pointers Form 2 & 3,https://drive.google.com/file/d/1zbAY8bGYRcMjuEPNhVyz_Y9M-PN-Di3X/view?usp=drive_link,https://drive.google.com/file/d/1nnSe7PaUen3Oy_Th6HrykGvDCdGzSFkg/view?usp=drive_link,"Solution of homework problems : 1. no. of subarrays with # of distinct ele ==k, 2. sum of length of all 
subarray with # of distinct ele >k; Intro to Form 2 problems: 1. Find max value of the given expression, 
Is S a subsequence of T."
17/08/2025,Recursion Foundation,https://drive.google.com/file/d/1iGR4BryaSMhffQHtcDhc1aviHn8nwKZt/view?usp=drive_link,https://drive.google.com/file/d/1cQkXPKRIvplTznjOzdl12DdwyOu4qoiZ/view?usp=drive_link,"Examples of Recursion; Frameworks to visualize : code, recursion tree, recursion stack; Four forms; 
Palindrom check using recursion; ncr calculation;  print a series; tower of hanoi"
17/08/2025,Recursion Drill Session,https://drive.google.com/file/d/1O9mQ13oi8jMinmOzR6hktQwKCw9E0P8D/view?usp=drive_link,https://drive.google.com/file/d/1UIfzMIVWyN-bs_MJgeKCOw2dOxwOpTo2/view?usp=drive_link,"Kth finding in tower of hanoi, Kth symbol in grammar, Christmas (kth finding)"
23/08/2025,Doubt Session,https://drive.google.com/file/d/18shS59dLmF6n9vnVZpzVpTwRlvo7A8Q-/view?usp=drive_link,https://drive.google.com/file/d/1WcbiwHDO-UxNGQ1xnNN79Ik2SeZhsrqH/view?usp=drive_link,"Maximise the Fraction Approach, Code for 1 idea, cellular network idea"
24/08/2025,Mixed Drill Session,https://drive.google.com/file/d/1WmyoVS9KNE3E-uA_sHtuZYoRdp6--DwC/view?usp=drive_link,https://drive.google.com/file/d/1uUiJgghyWgLfXFRK-P-IWBsy5zSpLCoP/view?usp=drive_link,"Sum of ele in subsequence>=k, Hamburgers, The meeting cannot be changed, Quiz Master"
25/08/2025,Backtracking Framework & Usage,https://drive.google.com/file/d/1uF80-t7rr1G-esVMYwkA7E4YXv6qWDWz/view?usp=drive_link,https://drive.google.com/file/d/1ctb9TLpvB_k8JuoOrpfpzk1FFYQSxbL2/view?usp=drive_link," LLCMD, Place one knight in each row, place knights, print all permutations of array where 
elements are distinct and when arr has duplicates"
27/08/2025,Doubt Session,https://drive.google.com/file/d/1Z0dyqL2gkyzn51kF5mEJapwnbWg0FKmz/view?usp=drive_link,https://drive.google.com/file/d/1WcbiwHDO-UxNGQ1xnNN79Ik2SeZhsrqH/view?usp=drive_link,Nephren gives a riddle
01/08/2025,Contest Discussion,https://drive.google.com/file/d/1eiZ-Hd2iu37aWOl3kQNFTD6YHY6a913w/view?usp=drive_link,https://drive.google.com/file/d/1_WRhGEGezGe8uzKlRirVSnMMNOycmgHR/view?usp=drive_link,
